,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
364,moussoro,100,TD,1586634031,12,85.46,13.64,16.49,15.05
365,betare oya,100,CM,1586634031,70,66.78,5.6,14.08,2.35
366,ostrovnoy,20,RU,1586634031,93,15.76,68.05,39.51,11.79
367,makkaveyevo,0,RU,1586634031,53,23,51.75,113.95,4.47
368,russell,1,US,1586633821,26,72,32.35,-85.2,4.7
369,nizhniy ingash,0,RU,1586634031,93,28.81,56.2,96.53,3.8
370,sakaiminato,90,JP,1586634032,66,50,35.55,133.23,6.93
371,yeppoon,95,AU,1586634032,94,71.6,-23.13,150.73,3.62
372,san quintin,8,MX,1586634032,63,63,30.48,-115.95,18.21
373,namatanai,100,PG,1586634032,76,81.88,-3.67,152.43,3.8
374,batemans bay,5,AU,1586634032,73,48.99,-35.72,150.18,9.33
375,fairbanks,75,US,1586634002,63,35.01,64.84,-147.72,6.93
376,kita,95,ML,1586634033,32,89.42,13.03,-9.49,9.69
377,steamboat springs,40,US,1586633861,30,62.6,40.48,-106.83,14.99
378,guangyuan,4,CN,1586633973,82,37.99,32.44,105.82,3.09
379,acajutla,96,SV,1586634033,66,88,13.59,-89.83,1.99
380,velyka bahachka,0,UA,1586634033,68,39.31,49.79,33.72,11.79
381,kavaratti,0,IN,1586634033,68,84.34,10.57,72.64,3.31
382,muravlenko,100,RU,1586634034,94,35.06,63.79,74.52,17.16
383,benjamin constant,40,BR,1586634034,74,86,-4.38,-70.03,4.7
384,ekhabi,7,RU,1586634034,97,27.43,53.51,142.97,14.76
385,ipixuna,75,BR,1586634034,88,82.4,-1.76,-48.8,6.93
386,new castle,40,US,1586633964,37,55.4,41,-80.35,11.41
387,sengiley,100,RU,1586634035,80,39.2,53.96,48.79,6.71
388,morrope,20,PE,1586634035,29,66.2,-6.54,-80.01,21.92
